id_short	id_full	id_full_underscore	id_abbr	genus	species	subspecies
BRE6	Bifidobacterium breve JCP7499	Bifidobacterium_breve_JCP7499	B. breve JCP7499	Bifidobacterium	breve	NA
BRE7	Bifidobacterium breve NCFB 2258	Bifidobacterium_breve_NCFB_2258	B. breve NCFB 2258	Bifidobacterium	breve	NA
BRE8	Bifidobacterium breve S27	Bifidobacterium_breve_S27	B. breve S27	Bifidobacterium	breve	NA
BRE9	Bifidobacterium breve UCC2003	Bifidobacterium_breve_UCC2003	B. breve UCC2003	Bifidobacterium	breve	NA
LON1	Bifidobacterium longum NCC2705	Bifidobacterium_longum_NCC2705	B. longum NCC2705	Bifidobacterium	longum	NA
INF1	Bifidobacterium longum subsp infantis 157F	Bifidobacterium_longum_subsp_infantis_157F	B. longum subsp infantis 157F	Bifidobacterium	longum	infantis
LON2	Bifidobacterium longum subsp longum BBMN68	Bifidobacterium_longum_subsp_longum_BBMN68	B. longum subsp longum BBMN68	Bifidobacterium	longum	longum
LON3	Bifidobacterium longum subsp longum F8	Bifidobacterium_longum_subsp_longum_F8	B. longum subsp longum F8	Bifidobacterium	longum	longum
LON4	Bifidobacterium longum subsp longum JCM 1217	Bifidobacterium_longum_subsp_longum_JCM_1217	B. longum subsp longum JCM 1217	Bifidobacterium	longum	longum
THE1	Bifidobacterium thermophilum RBL67	Bifidobacterium_thermophilum_RBL67	B. thermophilum RBL67	Bifidobacterium	thermophilum	NA
